session_id,user_id,session_date,session_duration_mins,device,plan
SESS000375,USR0029,2024-06-21,19,Web,Starter
SESS000376,USR0029,2024-06-30,29,Mobile,Starter
SESS000377,USR0029,2024-06-30,33,Web,Starter
SESS000378,USR0029,2024-06-17,30,Web,Starter
SESS000379,USR0029,2024-06-17,35,Web,Starter
SESS000380,USR0029,2024-06-23,18,Web,Starter
SESS000381,USR0029,2024-06-27,17,Web,Starter
SESS000382,USR0029,2024-06-21,13,Web,Starter
SESS000383,USR0029,2024-06-28,33,Web,Starter
SESS000384,USR0029,2024-06-24,30,Mobile,Starter
SESS000385,USR0029,2024-06-23,15,Web,Starter
SESS000386,USR0030,2024-06-10,21,Mobile,Starter
SESS000387,USR0030,2024-05-19,35,Mobile,Starter
SESS000388,USR0030,2024-05-16,14,Mobile,Starter
SESS000389,USR0030,2024-06-19,17,Desktop App,Starter
SESS000390,USR0030,2024-05-24,12,Web,Starter
SESS000391,USR0030,2024-06-19,36,Web,Starter
SESS000392,USR0030,2024-06-04,40,Desktop App,Starter
SESS000393,USR0030,2024-05-16,32,Web,Starter
SESS000394,USR0030,2024-05-14,15,Web,Starter
SESS000395,USR0030,2024-06-03,21,Mobile,Starter
SESS000396,USR0031,2024-06-28,37,Web,Starter
SESS000397,USR0031,2024-06-29,33,Web,Starter
SESS000398,USR0031,2024-06-28,15,Mobile,Starter
SESS000399,USR0031,2024-06-24,37,Mobile,Starter
SESS000400,USR0031,2024-06-28,43,Mobile,Starter
SESS000401,USR0031,2024-06-28,15,Mobile,Starter
SESS000402,USR0031,2024-06-26,26,Desktop App,Starter
SESS000403,USR0031,2024-06-27,23,Web,Starter
SESS000404,USR0031,2024-06-30,18,Web,Starter
SESS000405,USR0031,2024-06-26,20,Mobile,Starter
SESS000406,USR0031,2024-06-28,30,Web,Starter
SESS000407,USR0031,2024-06-27,11,Web,Starter
SESS000408,USR0031,2024-06-25,11,Web,Starter
SESS000409,USR0031,2024-06-27,24,Mobile,Starter
SESS000410,USR0031,2024-06-24,41,Web,Starter
SESS000411,USR0031,2024-06-23,15,Web,Starter
SESS000412,USR0031,2024-06-23,43,Web,Starter
SESS000413,USR0031,2024-06-29,22,Web,Starter
SESS000414,USR0032,2024-06-29,16,Web,Starter
SESS000415,USR0032,2024-06-19,45,Desktop App,Starter
SESS000416,USR0032,2024-06-17,17,Mobile,Starter
SESS000417,USR0032,2024-05-28,30,Web,Starter
SESS000418,USR0032,2024-06-28,27,Web,Starter
SESS000419,USR0032,2024-06-04,33,Web,Starter
SESS000420,USR0032,2024-05-16,42,Web,Starter
SESS000421,USR0032,2024-06-08,22,Web,Starter
SESS000422,USR0032,2024-06-06,12,Web,Starter
SESS000423,USR0032,2024-06-20,32,Mobile,Starter
SESS000424,USR0033,2024-05-26,34,Web,Growth
SESS000425,USR0033,2024-06-09,31,Mobile,Growth
SESS000426,USR0033,2024-06-16,24,Web,Growth
SESS000427,USR0033,2024-06-21,15,Web,Growth
SESS000428,USR0033,2024-06-17,26,Web,Growth
SESS000429,USR0033,2024-06-11,29,Web,Growth
SESS000430,USR0033,2024-06-24,26,Web,Growth
SESS000431,USR0033,2024-06-19,35,Mobile,Growth
SESS000432,USR0033,2024-06-15,26,Desktop App,Growth
SESS000433,USR0033,2024-06-19,38,Web,Growth
SESS000434,USR0033,2024-06-23,20,Desktop App,Growth
SESS000435,USR0033,2024-06-18,51,Mobile,Growth
SESS000436,USR0033,2024-06-05,44,Web,Growth
SESS000437,USR0033,2024-06-08,38,Mobile,Growth
SESS000438,USR0033,2024-05-23,31,Web,Growth
SESS000439,USR0033,2024-05-27,50,Web,Growth
SESS000440,USR0033,2024-06-01,45,Mobile,Growth
SESS000441,USR0033,2024-06-05,44,Web,Growth
SESS000442,USR0033,2024-06-23,53,Web,Growth
SESS000443,USR0033,2024-06-17,30,Web,Growth
SESS000444,USR0033,2024-05-26,20,Web,Growth
SESS000445,USR0033,2024-06-02,55,Desktop App,Growth
SESS000446,USR0033,2024-05-25,25,Web,Growth
SESS000447,USR0033,2024-06-09,29,Web,Growth
SESS000448,USR0033,2024-06-01,45,Mobile,Growth
SESS000449,USR0033,2024-06-22,59,Web,Growth
SESS000450,USR0033,2024-06-22,54,Web,Growth
SESS000451,USR0033,2024-05-28,50,Mobile,Growth
SESS000452,USR0034,2024-02-23,16,Web,Trial
SESS000453,USR0034,2024-05-14,23,Web,Trial
SESS000454,USR0035,2024-06-01,47,Web,Growth
SESS000455,USR0035,2024-05-30,60,Desktop App,Growth
SESS000456,USR0035,2024-06-16,39,Web,Growth
SESS000457,USR0035,2024-06-05,33,Mobile,Growth
SESS000458,USR0035,2024-06-17,43,Web,Growth
SESS000459,USR0035,2024-06-10,44,Desktop App,Growth
SESS000460,USR0035,2024-06-18,16,Web,Growth
SESS000461,USR0035,2024-06-27,36,Desktop App,Growth
SESS000462,USR0035,2024-06-11,18,Web,Growth
SESS000463,USR0035,2024-05-31,18,Desktop App,Growth
SESS000464,USR0035,2024-06-05,38,Web,Growth
SESS000465,USR0035,2024-06-23,55,Mobile,Growth
SESS000466,USR0035,2024-06-22,32,Web,Growth
SESS000467,USR0035,2024-06-12,39,Web,Growth
SESS000468,USR0035,2024-06-02,52,Web,Growth
SESS000469,USR0035,2024-06-06,58,Mobile,Growth
SESS000470,USR0035,2024-06-27,38,Web,Growth
SESS000471,USR0035,2024-06-27,15,Web,Growth
SESS000472,USR0035,2024-06-07,23,Mobile,Growth
SESS000473,USR0035,2024-06-26,20,Web,Growth
SESS000474,USR0035,2024-06-27,17,Desktop App,Growth
SESS000475,USR0035,2024-06-02,40,Web,Growth
SESS000476,USR0035,2024-06-23,20,Desktop App,Growth
SESS000477,USR0035,2024-06-30,59,Desktop App,Growth
SESS000478,USR0035,2024-06-13,21,Mobile,Growth
SESS000479,USR0035,2024-05-30,30,Web,Growth
SESS000480,USR0036,2024-06-01,20,Mobile,Trial
SESS000481,USR0036,2024-06-04,18,Desktop App,Trial
SESS000482,USR0036,2024-05-31,15,Web,Trial
SESS000483,USR0036,2024-06-08,20,Web,Trial
SESS000484,USR0036,2024-06-14,13,Web,Trial
SESS000485,USR0037,2024-06-19,50,Web,Enterprise
SESS000486,USR0037,2024-06-22,61,Mobile,Enterprise
SESS000487,USR0037,2024-06-26,34,Web,Enterprise
SESS000488,USR0037,2024-06-29,44,Web,Enterprise
SESS000489,USR0037,2024-06-25,36,Web,Enterprise
SESS000490,USR0037,2024-06-25,40,Web,Enterprise
SESS000491,USR0037,2024-06-26,51,Mobile,Enterprise
SESS000492,USR0037,2024-06-22,83,Mobile,Enterprise
SESS000493,USR0037,2024-06-21,67,Mobile,Enterprise
