usage_id,user_id,feature_name,usage_date,usage_count,plan
FU000055,USR0005,Team Chat,2024-04-20,13,Starter
FU000056,USR0005,File Sharing,2024-05-27,5,Starter
FU000057,USR0005,Integrations,2024-06-19,2,Starter
FU000058,USR0005,Integrations,2024-06-09,15,Starter
FU000059,USR0005,Calendar View,2024-06-26,13,Starter
FU000060,USR0005,Calendar View,2024-04-19,1,Starter
FU000061,USR0005,Calendar View,2024-05-13,12,Starter
FU000062,USR0005,Calendar View,2024-05-24,1,Starter
FU000063,USR0005,Calendar View,2024-04-28,2,Starter
FU000064,USR0005,Kanban Board,2024-04-04,3,Starter
FU000065,USR0006,Task Management,2024-05-12,13,Starter
FU000066,USR0006,File Sharing,2024-03-02,2,Starter
FU000067,USR0006,File Sharing,2024-06-16,1,Starter
FU000068,USR0006,File Sharing,2024-02-23,3,Starter
FU000069,USR0006,Integrations,2024-05-01,14,Starter
FU000070,USR0006,Integrations,2024-06-02,12,Starter
FU000071,USR0006,Integrations,2024-05-09,1,Starter
FU000072,USR0006,Integrations,2024-05-08,10,Starter
FU000073,USR0006,Calendar View,2024-02-29,10,Starter
FU000074,USR0006,Calendar View,2024-03-16,10,Starter
FU000075,USR0006,Kanban Board,2024-06-16,5,Starter
FU000076,USR0007,Task Management,2024-04-30,14,Growth
FU000077,USR0007,Team Chat,2024-05-09,8,Growth
FU000078,USR0007,Team Chat,2024-05-05,6,Growth
FU000079,USR0007,Team Chat,2024-05-24,4,Growth
FU000080,USR0007,Team Chat,2024-05-11,6,Growth
FU000081,USR0007,File Sharing,2024-06-06,8,Growth
FU000082,USR0007,File Sharing,2024-06-29,6,Growth
FU000083,USR0007,File Sharing,2024-06-27,15,Growth
FU000084,USR0007,Reporting & Analytics,2024-05-29,12,Growth
FU000085,USR0007,Reporting & Analytics,2024-06-05,13,Growth
FU000086,USR0007,Reporting & Analytics,2024-05-01,2,Growth
FU000087,USR0007,Reporting & Analytics,2024-06-11,6,Growth
FU000088,USR0007,Reporting & Analytics,2024-05-13,1,Growth
FU000089,USR0007,Calendar View,2024-04-28,10,Growth
FU000090,USR0007,Calendar View,2024-05-31,9,Growth
FU000091,USR0007,Kanban Board,2024-06-02,4,Growth
FU000092,USR0007,Kanban Board,2024-05-07,1,Growth
FU000093,USR0007,Kanban Board,2024-06-14,13,Growth
FU000094,USR0007,Kanban Board,2024-06-12,10,Growth
FU000095,USR0007,Kanban Board,2024-04-28,4,Growth
FU000096,USR0008,Task Management,2024-06-30,8,Growth
FU000097,USR0008,Task Management,2024-06-30,11,Growth
FU000098,USR0008,Team Chat,2024-06-30,8,Growth
FU000099,USR0008,Team Chat,2024-06-30,6,Growth
FU000100,USR0008,File Sharing,2024-07-01,9,Growth
FU000101,USR0008,File Sharing,2024-06-30,15,Growth
FU000102,USR0008,File Sharing,2024-07-01,1,Growth
FU000103,USR0008,Reporting & Analytics,2024-07-01,1,Growth
FU000104,USR0008,Reporting & Analytics,2024-06-30,15,Growth
FU000105,USR0008,Reporting & Analytics,2024-07-01,8,Growth
FU000106,USR0008,Reporting & Analytics,2024-06-30,6,Growth
FU000107,USR0008,Integrations,2024-06-30,3,Growth
FU000108,USR0008,Calendar View,2024-06-30,12,Growth
FU000109,USR0008,Calendar View,2024-06-30,7,Growth
FU000110,USR0008,Calendar View,2024-06-30,11,Growth
FU000111,USR0008,Calendar View,2024-06-30,4,Growth
FU000112,USR0008,Kanban Board,2024-07-01,9,Growth
FU000113,USR0008,Kanban Board,2024-07-01,3,Growth
FU000114,USR0008,Kanban Board,2024-06-30,8,Growth
FU000115,USR0008,Kanban Board,2024-07-01,9,Growth
FU000116,USR0009,Task Management,2024-06-30,4,Growth
FU000117,USR0009,Team Chat,2024-06-02,11,Growth
FU000118,USR0009,Team Chat,2024-06-29,14,Growth
FU000119,USR0009,Team Chat,2024-06-24,12,Growth
FU000120,USR0009,Team Chat,2024-05-06,2,Growth
FU000121,USR0009,File Sharing,2024-06-06,13,Growth
FU000122,USR0009,File Sharing,2024-05-20,3,Growth
FU000123,USR0009,File Sharing,2024-06-17,11,Growth
FU000124,USR0009,Time Tracking,2024-05-30,7,Growth
FU000125,USR0009,Time Tracking,2024-05-26,9,Growth
FU000126,USR0009,Reporting & Analytics,2024-06-26,7,Growth
FU000127,USR0009,Reporting & Analytics,2024-05-09,2,Growth
FU000128,USR0009,Reporting & Analytics,2024-06-26,8,Growth
FU000129,USR0009,Reporting & Analytics,2024-05-02,10,Growth
FU000130,USR0009,Reporting & Analytics,2024-05-01,1,Growth
FU000131,USR0009,Integrations,2024-04-30,15,Growth
FU000132,USR0009,Integrations,2024-05-12,9,Growth
FU000133,USR0009,Integrations,2024-05-18,10,Growth
FU000134,USR0009,Integrations,2024-05-03,7,Growth
FU000135,USR0009,Integrations,2024-04-28,4,Growth
FU000136,USR0009,Calendar View,2024-06-22,4,Growth
FU000137,USR0009,Calendar View,2024-06-01,13,Growth
FU000138,USR0009,Calendar View,2024-06-01,2,Growth
FU000139,USR0009,Calendar View,2024-04-28,12,Growth
FU000140,USR0009,Kanban Board,2024-06-16,1,Growth
FU000141,USR0009,Kanban Board,2024-05-07,15,Growth
FU000142,USR0009,Kanban Board,2024-06-27,4,Growth
FU000143,USR0009,Kanban Board,2024-05-10,12,Growth
FU000144,USR0009,Kanban Board,2024-06-05,6,Growth
FU000145,USR0010,Task Management,2024-04-16,14,Starter
FU000146,USR0010,Task Management,2024-06-12,3,Starter
FU000147,USR0010,Task Management,2024-05-14,3,Starter
FU000148,USR0010,Task Management,2024-05-22,2,Starter
FU000149,USR0010,Task Management,2024-05-27,2,Starter
FU000150,USR0010,Team Chat,2024-06-05,5,Starter
FU000151,USR0010,File Sharing,2024-04-29,7,Starter
FU000152,USR0010,File Sharing,2024-06-11,7,Starter
FU000153,USR0010,File Sharing,2024-03-27,13,Starter
FU000154,USR0010,File Sharing,2024-06-27,15,Starter
FU000155,USR0010,File Sharing,2024-03-18,1,Starter
FU000156,USR0010,Time Tracking,2024-03-25,11,Starter
FU000157,USR0010,Time Tracking,2024-06-17,14,Starter
FU000158,USR0010,Time Tracking,2024-04-10,13,Starter
FU000159,USR0010,Time Tracking,2024-05-17,7,Starter
FU000160,USR0010,Time Tracking,2024-04-20,15,Starter
FU000161,USR0010,Kanban Board,2024-06-29,13,Starter
FU000162,USR0010,Kanban Board,2024-04-26,11,Starter
FU000163,USR0011,Task Management,2024-05-27,2,Trial
FU000164,USR0011,Task Management,2024-06-01,4,Trial
FU000165,USR0011,Task Management,2024-06-14,5,Trial
FU000166,USR0011,Task Management,2024-06-01,9,Trial
FU000167,USR0011,Team Chat,2024-06-06,5,Trial
FU000168,USR0011,File Sharing,2024-05-21,9,Trial
FU000169,USR0011,File Sharing,2024-06-28,7,Trial
FU000170,USR0011,File Sharing,2024-06-15,6,Trial
FU000171,USR0011,File Sharing,2024-05-20,8,Trial
FU000172,USR0011,File Sharing,2024-05-21,14,Trial
FU000173,USR0011,Kanban Board,2024-06-07,4,Trial
FU000174,USR0011,Kanban Board,2024-05-26,15,Trial
FU000175,USR0012,Task Management,2024-06-07,8,Starter
FU000176,USR0012,Task Management,2024-06-29,9,Starter
FU000177,USR0012,Task Management,2024-06-20,1,Starter
FU000178,USR0012,Task Management,2024-06-18,13,Starter
FU000179,USR0012,Team Chat,2024-06-14,9,Starter
FU000180,USR0012,File Sharing,2024-06-16,6,Starter
FU000181,USR0012,File Sharing,2024-06-09,4,Starter
FU000182,USR0012,File Sharing,2024-06-26,15,Starter
FU000183,USR0012,File Sharing,2024-06-21,12,Starter
FU000184,USR0012,File Sharing,2024-06-07,8,Starter
FU000185,USR0012,Integrations,2024-06-21,2,Starter
FU000186,USR0012,Calendar View,2024-06-08,3,Starter
FU000187,USR0012,Calendar View,2024-06-24,8,Starter
FU000188,USR0012,Calendar View,2024-06-12,7,Starter
FU000189,USR0012,Kanban Board,2024-06-19,3,Starter
FU000190,USR0012,Kanban Board,2024-06-20,3,Starter
FU000191,USR0012,Kanban Board,2024-06-19,3,Starter
FU000192,USR0013,Kanban Board,2024-05-08,7,Trial
FU000193,USR0013,Kanban Board,2024-06-21,10,Trial
FU000194,USR0014,Task Management,2024-04-02,5,Growth
FU000195,USR0014,Task Management,2024-05-06,1,Growth
FU000196,USR0014,Task Management,2024-06-15,14,Growth
FU000197,USR0014,Task Management,2024-06-02,4,Growth
FU000198,USR0014,File Sharing,2024-04-30,6,Growth
FU000199,USR0014,File Sharing,2024-04-11,1,Growth
FU000200,USR0014,Integrations,2024-06-18,5,Growth
FU000201,USR0014,Integrations,2024-04-07,10,Growth
FU000202,USR0014,Integrations,2024-04-25,10,Growth
FU000203,USR0014,Calendar View,2024-06-23,5,Growth
FU000204,USR0014,Calendar View,2024-05-13,14,Growth
FU000205,USR0014,Kanban Board,2024-06-13,9,Growth
FU000206,USR0014,Kanban Board,2024-05-20,5,Growth
FU000207,USR0014,Kanban Board,2024-05-09,12,Growth
FU000208,USR0014,Kanban Board,2024-05-14,13,Growth
FU000209,USR0014,Kanban Board,2024-04-27,5,Growth
FU000210,USR0015,Task Management,2024-06-02,1,Growth
FU000211,USR0015,Task Management,2024-06-30,12,Growth
FU000212,USR0015,Task Management,2024-06-17,11,Growth
FU000213,USR0015,Team Chat,2024-06-06,3,Growth
FU000214,USR0015,Team Chat,2024-06-25,8,Growth
FU000215,USR0015,Team Chat,2024-06-12,11,Growth
FU000216,USR0015,Team Chat,2024-06-28,12,Growth
FU000217,USR0015,File Sharing,2024-06-26,4,Growth
FU000218,USR0015,File Sharing,2024-05-28,9,Growth
FU000219,USR0015,Time Tracking,2024-05-26,10,Growth
FU000220,USR0015,Time Tracking,2024-06-14,2,Growth
FU000221,USR0015,Reporting & Analytics,2024-06-11,4,Growth
FU000222,USR0015,Reporting & Analytics,2024-06-03,2,Growth
FU000223,USR0015,Reporting & Analytics,2024-05-25,2,Growth
FU000224,USR0015,Reporting & Analytics,2024-06-10,13,Growth
FU000225,USR0015,Reporting & Analytics,2024-06-02,3,Growth
FU000226,USR0015,Calendar View,2024-06-03,15,Growth
FU000227,USR0015,Calendar View,2024-06-28,9,Growth
FU000228,USR0015,Calendar View,2024-06-08,2,Growth
FU000229,USR0015,Calendar View,2024-06-12,10,Growth
FU000230,USR0015,Calendar View,2024-06-27,3,Growth
FU000231,USR0015,Kanban Board,2024-05-27,14,Growth
FU000232,USR0015,Kanban Board,2024-06-12,8,Growth
FU000233,USR0015,Kanban Board,2024-06-26,15,Growth
FU000234,USR0015,Kanban Board,2024-05-31,3,Growth
FU000235,USR0015,Kanban Board,2024-06-27,14,Growth
FU000236,USR0016,Task Management,2024-03-31,4,Starter
FU000237,USR0016,Task Management,2024-02-17,10,Starter
FU000238,USR0016,Task Management,2024-06-04,7,Starter
FU000239,USR0016,Task Management,2024-04-19,8,Starter
FU000240,USR0016,Task Management,2024-05-03,10,Starter
FU000241,USR0016,Team Chat,2024-05-09,12,Starter
FU000242,USR0016,File Sharing,2024-02-02,5,Starter
FU000243,USR0016,File Sharing,2024-03-20,7,Starter
FU000244,USR0016,File Sharing,2024-06-07,15,Starter
FU000245,USR0016,Integrations,2024-03-05,9,Starter
FU000246,USR0016,Integrations,2024-04-20,8,Starter
FU000247,USR0016,Calendar View,2024-02-12,6,Starter
FU000248,USR0016,Kanban Board,2024-05-29,9,Starter
FU000249,USR0016,Kanban Board,2024-02-15,3,Starter
FU000250,USR0017,Task Management,2024-05-21,11,Enterprise
FU000251,USR0017,Task Management,2024-06-19,12,Enterprise
FU000252,USR0017,Task Management,2024-06-27,9,Enterprise
FU000253,USR0017,Task Management,2024-04-15,7,Enterprise
FU000254,USR0017,Task Management,2024-04-06,14,Enterprise
FU000255,USR0017,Team Chat,2024-06-20,4,Enterprise
FU000256,USR0017,Team Chat,2024-05-11,14,Enterprise
FU000257,USR0017,Team Chat,2024-04-02,10,Enterprise
FU000258,USR0017,Team Chat,2024-05-11,10,Enterprise
FU000259,USR0017,Team Chat,2024-05-30,8,Enterprise
FU000260,USR0017,File Sharing,2024-06-22,14,Enterprise
FU000261,USR0017,File Sharing,2024-04-06,13,Enterprise
FU000262,USR0017,File Sharing,2024-06-12,11,Enterprise
FU000263,USR0017,File Sharing,2024-05-24,6,Enterprise
FU000264,USR0017,Time Tracking,2024-06-24,14,Enterprise
FU000265,USR0017,Time Tracking,2024-04-21,11,Enterprise
FU000266,USR0017,Time Tracking,2024-06-23,8,Enterprise
FU000267,USR0017,Time Tracking,2024-06-24,11,Enterprise
FU000268,USR0017,Reporting & Analytics,2024-06-19,7,Enterprise
FU000269,USR0017,Reporting & Analytics,2024-04-16,3,Enterprise
FU000270,USR0017,Reporting & Analytics,2024-04-17,6,Enterprise
FU000271,USR0017,Integrations,2024-06-15,13,Enterprise
FU000272,USR0017,Integrations,2024-06-16,11,Enterprise
FU000273,USR0017,Calendar View,2024-05-13,2,Enterprise
FU000274,USR0017,Calendar View,2024-06-19,13,Enterprise
FU000275,USR0017,Calendar View,2024-04-05,3,Enterprise
FU000276,USR0017,Calendar View,2024-05-29,7,Enterprise
FU000277,USR0017,Kanban Board,2024-06-06,13,Enterprise
FU000278,USR0017,Kanban Board,2024-06-16,7,Enterprise
FU000279,USR0018,Task Management,2024-06-29,9,Trial
FU000280,USR0018,Task Management,2024-06-13,10,Trial
FU000281,USR0018,Task Management,2024-05-06,11,Trial
FU000282,USR0018,Task Management,2024-05-22,1,Trial
FU000283,USR0018,Task Management,2024-05-19,1,Trial
FU000284,USR0019,Task Management,2024-04-11,8,Trial
FU000285,USR0019,Task Management,2024-05-26,13,Trial
FU000286,USR0019,Reporting & Analytics,2024-05-21,1,Trial
FU000287,USR0019,Reporting & Analytics,2024-06-11,2,Trial
FU000288,USR0019,Reporting & Analytics,2024-06-13,6,Trial
FU000289,USR0019,Reporting & Analytics,2024-04-06,7,Trial
FU000290,USR0019,Calendar View,2024-04-12,11,Trial
FU000291,USR0019,Calendar View,2024-03-18,12,Trial
FU000292,USR0019,Calendar View,2024-04-04,7,Trial
FU000293,USR0019,Calendar View,2024-06-12,7,Trial
FU000294,USR0019,Kanban Board,2024-05-01,2,Trial
FU000295,USR0019,Kanban Board,2024-03-20,2,Trial
FU000296,USR0019,Kanban Board,2024-06-30,9,Trial
FU000297,USR0019,Kanban Board,2024-03-27,7,Trial
FU000298,USR0019,Kanban Board,2024-03-31,12,Trial
FU000299,USR0020,Task Management,2024-06-10,11,Trial
FU000300,USR0020,Task Management,2024-06-17,15,Trial
FU000301,USR0020,Task Management,2024-05-02,13,Trial
FU000302,USR0020,Task Management,2024-05-08,10,Trial
FU000303,USR0020,Task Management,2024-05-10,15,Trial
FU000304,USR0020,Team Chat,2024-05-03,6,Trial
FU000305,USR0020,Team Chat,2024-05-24,9,Trial
FU000306,USR0020,Team Chat,2024-05-08,9,Trial
FU000307,USR0020,Team Chat,2024-05-14,7,Trial
FU000308,USR0020,File Sharing,2024-05-15,13,Trial
FU000309,USR0020,File Sharing,2024-06-21,3,Trial
FU000310,USR0020,File Sharing,2024-06-28,10,Trial
FU000311,USR0020,File Sharing,2024-05-12,6,Trial
FU000312,USR0020,File Sharing,2024-05-08,13,Trial
FU000313,USR0020,Integrations,2024-05-26,15,Trial
FU000314,USR0020,Integrations,2024-06-30,2,Trial
FU000315,USR0020,Integrations,2024-05-29,8,Trial
FU000316,USR0020,Integrations,2024-06-06,15,Trial
FU000317,USR0020,Integrations,2024-05-21,1,Trial
FU000318,USR0020,Calendar View,2024-06-15,6,Trial
FU000319,USR0020,Calendar View,2024-05-09,9,Trial
FU000320,USR0020,Calendar View,2024-06-25,9,Trial
FU000321,USR0020,Calendar View,2024-06-22,6,Trial
FU000322,USR0020,Calendar View,2024-06-24,7,Trial
FU000323,USR0020,Kanban Board,2024-05-26,13,Trial
FU000324,USR0020,Kanban Board,2024-06-09,15,Trial
FU000325,USR0020,Kanban Board,2024-06-07,1,Trial
FU000326,USR0020,Kanban Board,2024-05-01,5,Trial
FU000327,USR0021,Task Management,2024-04-19,2,Trial
FU000328,USR0021,Task Management,2024-06-14,2,Trial
FU000329,USR0021,Task Management,2024-03-01,12,Trial
FU000330,USR0021,Kanban Board,2024-03-16,11,Trial
FU000331,USR0021,Kanban Board,2024-04-26,11,Trial
FU000332,USR0021,Kanban Board,2024-03-30,6,Trial
FU000333,USR0021,Kanban Board,2024-02-08,14,Trial
FU000334,USR0022,Task Management,2024-06-28,10,Starter
FU000335,USR0022,Task Management,2024-06-20,10,Starter
FU000336,USR0022,Task Management,2024-06-21,1,Starter
FU000337,USR0022,Task Management,2024-06-23,2,Starter
FU000338,USR0022,File Sharing,2024-06-28,5,Starter
FU000339,USR0022,File Sharing,2024-06-28,8,Starter
FU000340,USR0022,File Sharing,2024-06-27,12,Starter
FU000341,USR0022,File Sharing,2024-06-29,11,Starter
FU000342,USR0022,File Sharing,2024-06-27,11,Starter
FU000343,USR0022,Integrations,2024-06-25,13,Starter
FU000344,USR0022,Calendar View,2024-06-29,10,Starter
FU000345,USR0022,Calendar View,2024-06-25,15,Starter
FU000346,USR0022,Calendar View,2024-06-28,14,Starter
FU000347,USR0022,Calendar View,2024-06-29,2,Starter
FU000348,USR0022,Kanban Board,2024-06-26,8,Starter
FU000349,USR0023,File Sharing,2024-06-06,10,Starter
FU000350,USR0023,File Sharing,2024-06-29,15,Starter
FU000351,USR0023,File Sharing,2024-06-09,3,Starter
FU000352,USR0023,File Sharing,2024-06-14,9,Starter
FU000353,USR0023,File Sharing,2024-06-09,11,Starter
FU000354,USR0023,Calendar View,2024-06-17,11,Starter
FU000355,USR0023,Calendar View,2024-06-16,5,Starter
FU000356,USR0023,Calendar View,2024-06-07,10,Starter
FU000357,USR0023,Calendar View,2024-06-26,6,Starter
FU000358,USR0023,Calendar View,2024-06-24,8,Starter
FU000359,USR0023,Kanban Board,2024-06-09,6,Starter
FU000360,USR0023,Kanban Board,2024-06-09,4,Starter
FU000361,USR0023,Kanban Board,2024-06-12,8,Starter
FU000362,USR0024,Task Management,2024-05-08,13,Growth
FU000363,USR0024,Task Management,2024-05-22,9,Growth
FU000364,USR0024,Team Chat,2024-06-04,8,Growth
FU000365,USR0024,File Sharing,2024-05-28,11,Growth
FU000366,USR0024,File Sharing,2024-05-16,12,Growth
FU000367,USR0024,File Sharing,2024-05-10,13,Growth
FU000368,USR0024,File Sharing,2024-06-13,9,Growth
FU000369,USR0024,Time Tracking,2024-06-07,10,Growth
FU000370,USR0024,Time Tracking,2024-05-07,5,Growth
FU000371,USR0024,Reporting & Analytics,2024-06-29,1,Growth
FU000372,USR0024,Calendar View,2024-06-25,1,Growth
FU000373,USR0024,Kanban Board,2024-05-11,5,Growth
FU000374,USR0024,Kanban Board,2024-06-03,4,Growth
FU000375,USR0024,Kanban Board,2024-06-14,1,Growth
FU000376,USR0024,Kanban Board,2024-06-18,14,Growth
FU000377,USR0024,Kanban Board,2024-06-30,10,Growth
FU000378,USR0025,Task Management,2024-03-25,5,Growth
FU000379,USR0025,Task Management,2024-05-21,10,Growth
FU000380,USR0025,Team Chat,2024-02-26,11,Growth
FU000381,USR0025,Team Chat,2024-03-15,1,Growth
FU000382,USR0025,Team Chat,2024-04-07,13,Growth
FU000383,USR0025,File Sharing,2024-05-24,15,Growth
FU000384,USR0025,File Sharing,2024-06-02,12,Growth
FU000385,USR0025,File Sharing,2024-03-17,12,Growth
FU000386,USR0025,File Sharing,2024-06-25,10,Growth
FU000387,USR0025,File Sharing,2024-04-20,2,Growth
FU000388,USR0025,Time Tracking,2024-04-23,3,Growth
FU000389,USR0025,Time Tracking,2024-06-09,5,Growth
FU000390,USR0025,Time Tracking,2024-05-16,7,Growth
FU000391,USR0025,Reporting & Analytics,2024-02-23,12,Growth
FU000392,USR0025,Reporting & Analytics,2024-06-07,5,Growth
FU000393,USR0025,Reporting & Analytics,2024-06-06,15,Growth
FU000394,USR0025,Reporting & Analytics,2024-03-19,10,Growth
FU000395,USR0025,Integrations,2024-05-20,10,Growth
FU000396,USR0025,Integrations,2024-05-25,8,Growth
FU000397,USR0025,Calendar View,2024-06-01,13,Growth
FU000398,USR0025,Calendar View,2024-06-30,9,Growth
FU000399,USR0025,Kanban Board,2024-04-24,6,Growth
FU000400,USR0025,Kanban Board,2024-06-29,13,Growth
FU000401,USR0025,Kanban Board,2024-02-21,13,Growth
FU000402,USR0026,Task Management,2024-02-26,1,Trial
FU000403,USR0026,Task Management,2024-04-07,3,Trial
FU000404,USR0026,Team Chat,2024-05-28,11,Trial
FU000405,USR0026,Team Chat,2024-03-09,14,Trial
FU000406,USR0026,Team Chat,2024-05-18,3,Trial
FU000407,USR0026,Team Chat,2024-04-28,4,Trial
FU000408,USR0026,Calendar View,2024-04-09,11,Trial
FU000409,USR0026,Calendar View,2024-02-28,10,Trial
FU000410,USR0026,Calendar View,2024-06-14,10,Trial
FU000411,USR0027,Task Management,2024-06-10,12,Trial
FU000412,USR0027,Task Management,2024-04-20,5,Trial
FU000413,USR0027,Task Management,2024-06-24,7,Trial
FU000414,USR0027,Task Management,2024-05-01,5,Trial
FU000415,USR0027,Team Chat,2024-05-14,6,Trial
FU000416,USR0027,Team Chat,2024-06-01,15,Trial
FU000417,USR0027,Team Chat,2024-05-29,3,Trial
FU000418,USR0027,Team Chat,2024-05-06,2,Trial
FU000419,USR0027,Team Chat,2024-04-19,11,Trial
FU000420,USR0027,Reporting & Analytics,2024-05-21,13,Trial
FU000421,USR0027,Reporting & Analytics,2024-05-27,10,Trial
FU000422,USR0027,Reporting & Analytics,2024-06-05,9,Trial
FU000423,USR0028,Task Management,2024-06-14,14,Starter
FU000424,USR0028,Task Management,2024-06-19,3,Starter
FU000425,USR0028,Team Chat,2024-06-22,10,Starter
FU000426,USR0028,Team Chat,2024-05-31,10,Starter
FU000427,USR0028,Team Chat,2024-06-15,15,Starter
FU000428,USR0028,File Sharing,2024-05-18,1,Starter
FU000429,USR0028,File Sharing,2024-06-14,11,Starter
FU000430,USR0028,File Sharing,2024-05-19,4,Starter
FU000431,USR0028,File Sharing,2024-05-14,5,Starter
FU000432,USR0028,Kanban Board,2024-05-25,3,Starter
FU000433,USR0028,Kanban Board,2024-05-10,5,Starter
FU000434,USR0029,Task Management,2024-06-16,14,Starter
FU000435,USR0029,Task Management,2024-06-22,13,Starter
FU000436,USR0029,Team Chat,2024-06-28,14,Starter
FU000437,USR0029,Team Chat,2024-06-22,1,Starter
FU000438,USR0029,Team Chat,2024-06-24,14,Starter
FU000439,USR0029,Reporting & Analytics,2024-06-21,4,Starter
FU000440,USR0029,Reporting & Analytics,2024-06-25,8,Starter
FU000441,USR0029,Reporting & Analytics,2024-06-24,1,Starter
FU000442,USR0029,Calendar View,2024-06-16,5,Starter
FU000443,USR0029,Calendar View,2024-06-21,9,Starter
FU000444,USR0029,Calendar View,2024-06-28,2,Starter
FU000445,USR0029,Kanban Board,2024-06-30,14,Starter
FU000446,USR0029,Kanban Board,2024-06-21,6,Starter
FU000447,USR0030,Task Management,2024-05-26,2,Starter
FU000448,USR0030,Task Management,2024-06-22,12,Starter
FU000449,USR0030,Task Management,2024-06-11,10,Starter
FU000450,USR0030,Team Chat,2024-05-27,3,Starter
FU000451,USR0030,Team Chat,2024-06-02,2,Starter
FU000452,USR0030,Team Chat,2024-06-17,6,Starter
FU000453,USR0030,Integrations,2024-06-10,13,Starter
FU000454,USR0030,Integrations,2024-06-05,1,Starter
FU000455,USR0030,Integrations,2024-06-12,13,Starter
FU000456,USR0030,Integrations,2024-06-16,11,Starter
FU000457,USR0030,Integrations,2024-05-19,5,Starter
FU000458,USR0030,Calendar View,2024-05-23,15,Starter
FU000459,USR0030,Calendar View,2024-06-02,12,Starter
FU000460,USR0030,Calendar View,2024-06-10,8,Starter
FU000461,USR0030,Kanban Board,2024-06-25,4,Starter
FU000462,USR0030,Kanban Board,2024-06-25,14,Starter
FU000463,USR0030,Kanban Board,2024-06-11,12,Starter
FU000464,USR0030,Kanban Board,2024-06-13,2,Starter
FU000465,USR0030,Kanban Board,2024-05-27,15,Starter
FU000466,USR0031,Task Management,2024-06-27,5,Starter
FU000467,USR0031,Task Management,2024-06-26,12,Starter
FU000468,USR0031,Task Management,2024-06-29,12,Starter
FU000469,USR0031,Task Management,2024-06-25,12,Starter
FU000470,USR0031,Task Management,2024-06-24,15,Starter
FU000471,USR0031,Team Chat,2024-06-26,14,Starter
FU000472,USR0031,Team Chat,2024-06-27,12,Starter
